"team1_name","team1_rank","team1_score","team2_name","team2_rank","team2_score","round","year"
"Indiana","5","73","Oklahoma","2 ","64","4",2002
"Maryland","1","97","Kansas","1 ","88","4",2002
"Indiana","5 ","52","Maryland","1","64","2",2002
"Duke","1","84","Winthrop","16 ","37","64",2002
"Notre Dame","8","82","Charlotte","9 ","63","64",2002
"Indiana","5","75","Utah","12 ","56","64",2002
"USC","4 ","89","UNC Wilmington","13","93","64",2002
"Cal","6","82","Penn","11 ","75","64",2002
"Pitt","3","71","Cent Conn St","14 ","54","64",2002
"Oklahoma State","7 ","61","Kent State","10","69","64",2002
"Alabama","2","86","FAU","15 ","78","64",2002
"Duke","1","84","Notre Dame","8 ","77","32",2002
"Indiana","5","76","UNC Wilmington","13 ","67","32",2002
"Cal","6 ","50","Pitt","3","63","32",2002
"Kent State","10","71","Alabama","2 ","58","32",2002
"Duke","1 ","73","Indiana","5","74","16",2002
"Pitt","3 ","73","Kent State","10","78","16",2002
"Indiana","5","81","Kent State","10 ","69","8",2002
"Cincinnati","1","90","Boston U","16 ","52","64",2002
"UCLA","8","80","Ole Miss","9 ","58","64",2002
"Miami","5 ","80","Missouri","12","93","64",2002
"OSU","4","69","Davidson","13 ","64","64",2002
"Gonzaga","6 ","66","Wyoming","11","73","64",2002
"Arizona","3","86","UCSB","14 ","81","64",2002
"Xavier","7","70","Hawai'i","10 ","58","64",2002
"Oklahoma","2","71","UIC","15 ","63","64",2002
"Cincinnati","1 ","101","UCLA","8","105","32",2002
"Missouri","12","83","OSU","4 ","67","32",2002
"Wyoming","11 ","60","Arizona","3","68","32",2002
"Xavier","7 ","65","Oklahoma","2","78","32",2002
"UCLA","8 ","73","Missouri","12","82","16",2002
"Arizona","3 ","67","Oklahoma","2","88","16",2002
"Missouri","12 ","75","Oklahoma","2","81","8",2002
"Maryland","1","85","Siena","16 ","70","64",2002
"Wisconsin","8","80","St John's","9 ","70","64",2002
"Marquette","5 ","69","Tulsa","12","71","64",2002
"Kentucky","4","83","Valparaiso","13 ","68","64",2002
"Texas Tech","6 ","68","S Illinois","11","76","64",2002
"Georgia","3","85","Murray State","14 ","68","64",2002
"NC State","7","69","Michigan State","10 ","58","64",2002
"UConn","2","78","Hampton","15 ","67","64",2002
"Maryland","1","87","Wisconsin","8 ","57","32",2002
"Tulsa","12 ","82","Kentucky","4","87","32",2002
"S Illinois","11","77","Georgia","3 ","75","32",2002
"NC State","7 ","74","UConn","2","77","32",2002
"Maryland","1","78","Kentucky","4 ","68","16",2002
"S Illinois","11 ","59","UConn","2","71","16",2002
"Maryland","1","90","UConn","2 ","82","8",2002
"Kansas","1","70","Holy Cross","16 ","59","64",2002
"Stanford","8","84","W Kentucky","9 ","68","64",2002
"Florida","5 ","82","Creighton","12","83","64",2002
"Illinois","4","93","San Diego State","13 ","64","64",2002
"Texas","6","70","Boston College","11 ","57","64",2002
"Miss St","3","70","McNeese","14 ","58","64",2002
"Wake Forest","7","83","Pepperdine","10 ","74","64",2002
"Oregon","2","81","Montana","15 ","62","64",2002
"Kansas","1","86","Stanford","8 ","63","32",2002
"Creighton","12 ","60","Illinois","4","72","32",2002
"Texas","6","68","Miss St","3 ","64","32",2002
"Wake Forest","7 ","87","Oregon","2","92","32",2002
"Kansas","1","73","Illinois","4 ","69","16",2002
"Texas","6 ","70","Oregon","2","72","16",2002
"Kansas","1","104","Oregon","2 ","86","8",2002
"Marquette","3 ","61","Kansas","2","94","4",2003
"Texas","1 ","84","Syracuse","3","95","4",2003
"Kansas","2 ","78","Syracuse","3","81","2",2003
"Kentucky","1","95","IUPUI","16 ","64","64",2003
"Oregon","8 ","58","Utah","9","60","64",2003
"Wisconsin","5","81","Weber State","12 ","74","64",2003
"Dayton","4 ","71","Tulsa","13","84","64",2003
"Missouri","6","72","S Illinois","11 ","71","64",2003
"Marquette","3","72","Holy Cross","14 ","68","64",2003
"Indiana","7","67","Alabama","10 ","62","64",2003
"Pitt","2","87","Wagner","15 ","61","64",2003
"Kentucky","1","74","Utah","9 ","54","32",2003
"Wisconsin","5","61","Tulsa","13 ","60","32",2003
"Missouri","6 ","92","Marquette","3","101","32",2003
"Indiana","7 ","52","Pitt","2","74","32",2003
"Kentucky","1","63","Wisconsin","5 ","57","16",2003
"Marquette","3","77","Pitt","2 ","74","16",2003
"Kentucky","1 ","69","Marquette","3","83","8",2003
"Arizona","1","80","Vermont","16 ","51","64",2003
"Cincinnati","8 ","69","Gonzaga","9","74","64",2003
"Notre Dame","5","70","Milwaukee","12 ","69","64",2003
"Illinois","4","65","W Kentucky","13 ","60","64",2003
"Creighton","6 ","73","Cent Michigan","11","79","64",2003
"Duke","3","67","Colorado State","14 ","57","64",2003
"Memphis","7 ","71","Arizona State","10","84","64",2003
"Kansas","2","64","Utah State","15 ","61","64",2003
"Arizona","1","96","Gonzaga","9 ","95","32",2003
"Notre Dame","5","68","Illinois","4 ","60","32",2003
"Cent Michigan","11 ","60","Duke","3","86","32",2003
"Arizona State","10 ","76","Kansas","2","108","32",2003
"Arizona","1","88","Notre Dame","5 ","71","16",2003
"Duke","3 ","65","Kansas","2","69","16",2003
"Arizona","1 ","75","Kansas","2","78","8",2003
"Texas","1","82","UNC Asheville","16 ","61","64",2003
"LSU","8 ","56","Purdue","9","80","64",2003
"UConn","5","58","BYU","12 ","53","64",2003
"Stanford","4","77","San Diego","13 ","69","64",2003
"Maryland","6","75","UNC Wilmington","11 ","73","64",2003
"Xavier","3","71","Troy","14 ","59","64",2003
"Michigan State","7","79","Colorado","10 ","64","64",2003
"Florida","2","85","Sam Houston","15 ","55","64",2003
"Texas","1","77","Purdue","9 ","67","32",2003
"UConn","5","85","Stanford","4 ","74","32",2003
"Maryland","6","77","Xavier","3 ","64","32",2003
"Michigan State","7","68","Florida","2 ","46","32",2003
"Texas","1","82","UConn","5 ","78","16",2003
"Maryland","6 ","58","Michigan State","7","60","16",2003
"Texas","1","85","Michigan State","7 ","76","8",2003
"Oklahoma","1","71","S Carolina St","16 ","54","64",2003
"Cal","8","76","NC State","9 ","74","64",2003
"Miss St","5 ","46","Butler","12","47","64",2003
"Louisville","4","86","Austin Peay","13 ","64","64",2003
"Oklahoma State","6","77","Penn","11 ","63","64",2003
"Syracuse","3","76","Manhattan","14 ","65","64",2003
"Saint Joe's","7 ","63","Auburn","10","65","64",2003
"Wake Forest","2","76","ETSU","15 ","73","64",2003
"Oklahoma","1","74","Cal","8 ","65","32",2003
"Butler","12","79","Louisville","4 ","71","32",2003
"Oklahoma State","6 ","56","Syracuse","3","68","32",2003
"Auburn","10","68","Wake Forest","2 ","62","32",2003
"Oklahoma","1","65","Butler","12 ","54","16",2003
"Syracuse","3","79","Auburn","10 ","78","16",2003
"Oklahoma","1 ","47","Syracuse","3","63","8",2003
